iter	Passed	Remaining
0	1	146
1	3	163
2	5	161
3	6	162
4	8	165
5	11	172
6	14	190
7	16	192
8	18	190
9	21	189
10	23	188
11	25	187
12	27	184
13	30	186
14	32	181
15	34	178
16	35	174
17	37	172
18	40	170
19	41	166
20	43	164
21	45	160
22	46	157
23	48	153
24	50	150
25	51	147
26	53	143
27	54	140
28	55	136
29	57	133
30	58	130
31	59	127
32	60	123
33	61	120
34	62	116
35	63	113
36	64	110
37	65	107
38	66	104
39	68	102
40	69	99
41	70	97
42	71	95
43	72	92
44	73	89
45	74	87
46	75	85
47	76	82
48	77	81
49	78	78
50	80	76
51	81	74
52	82	72
53	83	71
54	85	69
55	86	67
56	87	65
57	88	64
58	89	62
59	90	60
60	92	58
61	93	57
62	94	55
63	95	53
64	96	51
65	97	49
66	98	48
67	100	47
68	101	45
69	102	44
70	103	42
71	105	40
72	106	39
73	107	37
74	108	36
75	109	34
76	110	32
77	111	31
78	112	29
79	114	28
80	115	27
81	116	25
82	117	24
83	119	22
84	120	21
85	122	19
86	123	18
87	125	17
88	126	15
89	127	14
90	129	12
91	130	11
92	131	9
93	132	8
94	134	7
95	135	5
96	137	4
97	138	2
98	139	1
99	140	0
