iter	Passed	Remaining
0	152	151861
1	153	76650
2	156	52130
3	160	39841
4	162	32424
5	165	27454
6	168	23844
7	170	21109
8	171	18937
9	174	17244
10	176	15836
11	177	14636
12	179	13620
13	180	12726
14	182	11989
15	183	11297
16	184	10693
17	186	10176
18	188	9707
19	189	9284
20	190	8894
21	191	8533
22	192	8197
23	194	7898
24	195	7623
25	196	7363
26	197	7118
27	198	6891
28	199	6684
29	201	6506
30	202	6333
31	203	6167
32	204	6003
33	205	5852
34	207	5714
35	208	5580
36	209	5449
37	210	5326
38	211	5214
39	212	5110
40	214	5010
41	215	4912
42	216	4819
43	217	4734
44	219	4653
45	220	4569
46	221	4486
47	222	4407
48	223	4333
49	224	4265
50	225	4200
51	226	4137
52	228	4081
53	230	4031
54	231	3979
55	232	3926
56	233	3870
57	234	3815
58	236	3765
59	237	3715
60	238	3667
61	239	3620
62	240	3573
63	242	3543
64	244	3510
65	245	3473
66	246	3435
67	247	3394
68	248	3359
69	250	3324
70	251	3288
71	252	3251
72	253	3216
73	254	3182
74	255	3155
75	257	3125
76	258	3097
77	259	3071
78	261	3042
79	262	3017
80	263	2989
81	264	2962
82	265	2928
83	266	2902
84	267	2879
85	268	2855
86	269	2830
87	270	2806
88	271	2781
89	272	2760
90	274	2740
91	275	2719
92	276	2698
93	277	2676
94	278	2654
95	279	2636
96	281	2616
97	282	2595
98	282	2575
99	284	2557
100	285	2540
101	286	2523
102	287	2505
103	289	2491
104	290	2475
105	291	2459
106	292	2443
107	294	2429
108	295	2412
109	296	2396
110	297	2380
111	298	2367
112	299	2353
113	300	2337
114	301	2322
115	302	2307
116	303	2293
117	305	2282
118	306	2269
119	307	2254
120	308	2240
121	309	2225
122	310	2213
123	311	2201
124	312	2189
125	313	2176
126	314	2162
127	315	2151
128	317	2141
129	318	2132
130	319	2121
131	321	2111
132	322	2100
133	323	2090
134	324	2080
135	325	2069
136	326	2058
137	327	2047
138	328	2037
139	330	2027
140	331	2017
141	331	2004
142	333	1996
143	334	1988
144	335	1979
145	336	1970
146	337	1960
147	338	1950
148	340	1944
149	341	1936
150	342	1926
151	343	1917
152	344	1907
153	345	1899
